"","bc","cc","ec"
"361100",1618296,8.09113779415131e-09,0
"361102",8198313,8.02201312089897e-09,0
"361103",1355361,7.8465192498594e-09,5.8271387248312e-18
"361104",1979735,8.25346690088637e-09,0
"361105",1573903,8.17378240954149e-09,2.23231217170353e-17
"361106",14898772,8.16383468609098e-09,3.47125965100546e-17
"361107",7151848,8.06147828344344e-09,0
"361108",7139754,7.85000759146669e-09,2.0706270825045e-17
"361109",6979426,7.94168784054968e-09,1.5452546919778e-17
"361110",3136040,7.70030294942094e-09,1.09369396607079e-17
"361112",22482040,7.65466589989509e-09,1.74177163882838e-17
"361114",9503013,7.11402372720070e-09,6.64832506199182e-17
"361116",13016012,7.1983374883575e-09,0
"361117",13795777,7.26865679419931e-09,1.70211683077155e-17
"361118",2896149,6.85087057617797e-09,8.64833524247716e-19
"361120",731132,6.70897098592003e-09,1.76118829547866e-17
"361125",423143,6.55750848797213e-09,9.35675309608957e-18
"361135",392091,6.24696018188911e-09,3.99281755384325e-17
"361136",104057,6.34931553807846e-09,0
"361704",5083057,6.74120827338294e-09,0
"361705",2716870,6.9477537060915e-09,2.45961462308864e-17
"361706",691362,7.27261132181864e-09,0
"361709",117993,7.18598780108298e-09,0
"361711",118021,7.28546785492047e-09,1.0192509382014e-17
"361712",81149,7.17619522521908e-09,0
"361715",873275,7.34622477374245e-09,2.51144833679065e-17
"361721",100145,7.16815651194567e-09,0
"361726",2162430,7.27572288008381e-09,1.79449309360336e-18
"361729",2111625,7.29830347892624e-09,1.461862057199e-17
"361730",5893494,7.33355506102203e-09,0
"361731",2414414,7.34162318636451e-09,0
"361732",165636,7.31162572817802e-09,0
"361733",4337162,7.39959583658975e-09,8.88537629636938e-18
"361735",401833,7.24166636220021e-09,4.75010565958909e-17
"361736",213256,7.25578022443106e-09,0
"361737",290313,7.20817619020813e-09,0
"361738",2777837,7.29765160185746e-09,0
"361739",1509571,7.3308624079073e-09,7.3736642379508e-18
"361740",4888938,7.38119398098933e-09,3.91430163847469e-17
"361741",0,7.16889108283955e-09,0
"361742",0,7.26289973485412e-09,3.77747662640229e-18
"361744",317135,7.2521252371915e-09,4.01563960196741e-17
"361745",181032,7.27038803076179e-09,0
"361747",3906610,7.37489432801254e-09,1.34968861696187e-17
"361748",354679,7.31473321622216e-09,3.15816030385885e-17
"361749",409091,7.35426112472891e-09,2.60979896583131e-17
"361752",216363,7.39504401771332e-09,9.21599491206329e-18
"361753",259006,7.34607234659936e-09,1.85378669079597e-17
"361769",149821,7.18881806380469e-09,0
"361795",466415,7.29609419752465e-09,0
"366594",3915116,6.81322358264292e-09,2.27359772816661e-17
"366595",4600210,6.76230549265945e-09,1.95231645266847e-17
"366596",2311980,6.68917747309854e-09,6.88723087941851e-18
"366603",42514,6.0007733327063e-09,0
"367504",5010714,8.4700872021016e-09,7.69466438364065e-18
"367505",10707021,8.78780638500718e-09,1.1938598752029e-18
"367506",8280414,8.7899902786484e-09,0
"367508",7678916,8.42991639548162e-09,1.49408903549822e-17
"367510",14887988,8.73125327191359e-09,2.08276432271796e-17
"367513",13392319,7.89229493213382e-09,1.57635725390373e-17
"367521",9641835,8.48946959793261e-09,1.95942541298706e-17
"367530",15904541,9.11814416936678e-09,0
"367546",1428756,7.62366204455582e-09,0
"367547",2691376,7.64000064841714e-09,0
"367548",4161573,7.54945900252286e-09,1.31781122776044e-18
"367584",4960743,7.91119274390060e-09,0
"367617",5767435,7.59380960484714e-09,0
"367881",1243998,4.70403247531306e-09,0
"367882",518210,4.73384379265194e-09,0
"367887",1332690,5.50065875299324e-09,5.37007793680112e-18
"367888",2333670,5.64135516000758e-09,3.42687618175766e-18
"367889",3042776,5.64758897163488e-09,0
"367893",1647058,6.5226123567823e-09,1.44275076547778e-16
"367905",1836463,6.26924617757901e-09,1.91034291645455e-17
"367906",1653548,6.41381994526393e-09,1.04028081842044e-17
"367908",2001089,6.32361883905196e-09,1.27513171503895e-17
"367911",4462872,6.47832715848661e-09,1.67921659770269e-17
"367912",1338434,6.31150145828605e-09,0
"367914",885898,6.4144356532392e-09,1.2969202885553e-17
"367915",6640412,6.66025230862152e-09,0
"367917",2961164,7.24811312835011e-09,2.4469684990285e-19
"367926",4698426,7.35542788913568e-09,1.35861722700316e-17
"367927",5384505,7.42778988193689e-09,0
"367928",2499162,7.63399707781815e-09,4.71905083223356e-18
"367929",1212286,7.32395100056732e-09,1.22286770233425e-18
"367932",10311353,7.58141702976377e-09,2.67690713222714e-17
"367934",3121352,7.92286427871411e-09,0
"367935",243319,7.94062600569052e-09,0
"367937",9836322,7.79022548193942e-09,7.15290541762062e-18
"367943",82419,7.33606713403596e-09,0
"367946",4462036,7.23049432028866e-09,1.55671481120715e-18
"367947",21243,6.75718404908661e-09,1.6189293705717e-17
"367950",0,5.94685990895584e-09,2.35095553590013e-18
"367951",5213695,6.93548480744959e-09,0
"367967",91282,8.2392987746811e-09,0
"367979",1663699,8.40719663320427e-09,0
"367986",16459437,8.03158369956337e-09,1.35841724787881e-17
"367988",915717,8.11705763447909e-09,6.64954727976007e-18
"367989",2985219,8.33299940438022e-09,0
"367991",2719858,7.98460278555568e-09,0
"367994",712537,8.37087626704845e-09,3.1126380772683e-17
"367995",88383,8.10023850125246e-09,0
"367997",11683454,7.58547790621542e-09,3.26029380022882e-18
"367998",2207372,7.68772254747529e-09,0
"367999",64230,7.14840845676093e-09,0
"368000",11608356,7.5711067534846e-09,8.96734339362244e-18
"368001",0,8.17239507481934e-09,4.3850724073506e-16
"368003",15830544,7.12384775955788e-09,0
"368006",6517561,7.05243682951063e-09,1.70845788939285e-17
"368007",1655717,7.03443298312947e-09,0
"368008",3937222,7.21468159225618e-09,0
"368009",16330771,7.26153510801275e-09,0
"368010",19826521,7.28596204376019e-09,0
"368011",17812843,7.25025523237345e-09,3.02941658978856e-17
"368012",17571696,7.184442021749e-09,2.3610918522575e-17
"368014",8104806,7.59532265358256e-09,0
"368015",456450,6.63841699257068e-09,2.09157155882718e-17
"368041",452350,6.86547690942643e-09,9.60930490747517e-18
"368044",124978,6.08892620151964e-09,1.28558018392356e-17
"368047",118544,6.27438011336098e-09,0
"368057",1719138,6.31811778506259e-09,0
"368058",16317803,6.36293262574995e-09,0
"368059",19378845,6.59506102615865e-09,0
"368061",13331586,6.91234913416741e-09,0
"368064",4628948,6.79208409496714e-09,2.34248881477927e-17
"368065",200805,6.91810466389989e-09,0
"368068",11419745,6.27985089382389e-09,1.06435753964651e-17
