"","bc","cc","ec"
"94139728",667233,8.26374822934201e-09,4.31764528529275e-18
"94139827",987318,8.37937717524845e-09,3.75141401228634e-17
"94139840",3764313,8.44230168139443e-09,0
"94139897",2740987,8.34936090533813e-09,0
"94140289",1607461,8.30193595439368e-09,2.36605328562301e-17
"94140444",222602,8.35914021354617e-09,0
"94140445",123630,8.20592139447191e-09,1.14492635276819e-17
"94140446",123623,8.03641163371618e-09,1.236633590582e-17
"94140737",1580185,8.22587513472862e-09,0
"94140897",1551192,8.38729580182857e-09,2.30883139487135e-17
"94141000",1955207,8.35374359939398e-09,0
"94141094",87725,8.06572948608626e-09,3.66183200770629e-17
"94141096",568689,8.18008571297537e-09,0
"94141547",6227806,8.28482031266327e-09,4.86435597893182e-17
"94141548",846421,7.84356575497663e-09,9.1271968793368e-18
"94141550",198663,8.11639295126372e-09,7.41126655384202e-18
"94141551",29678,7.90619216021215e-09,2.24261160397513e-17
"94141832",2763533,7.85445133715051e-09,3.50751490423094e-18
"94142433",2916456,8.05081248658446e-09,2.05895373992432e-17
"94142434",2752789,7.85166137669142e-09,1.21125821024865e-17
"94142437",5023681,7.43850638455657e-09,3.16411066934304e-17
"94142442",5084367,7.81785902413594e-09,9.96131266810073e-18
"94142445",5567366,7.8765664903525e-09,0
"94142447",4880514,7.34264848060661e-09,0
"94143078",143965,8.10209022150568e-09,1.01968022581254e-18
"94143079",47056,7.91417814053115e-09,2.83435967826263e-17
"94143086",107632,7.98518132424281e-09,2.01903954898022e-18
"94143087",120528,8.05537610162589e-09,7.42662682127326e-18
"94143088",2578906,8.15583971274834e-09,1.30349594835876e-17
"94143090",25794,8.23665684937942e-09,0
"94143538",61476,8.24391913281932e-09,1.01268686007273e-17
"94143743",1088366,8.31817279631186e-09,5.29548230054142e-18
"94143863",963274,8.30067300787929e-09,8.50325283351636e-18
"94143998",316028,8.02320019956897e-09,1.60693102269313e-17
"94143999",19567,7.82103070880476e-09,3.88537197155058e-18
"94144255",2599564,8.21685421132175e-09,1.16233971523018e-17
"94144256",2096772,8.17236305073962e-09,1.95620745145278e-17
"94144498",111727,8.30495199166807e-09,0
"94144565",83511,8.3190628098716e-09,1.63497886509397e-17
"94144708",841866,8.29810779865921e-09,0
"94144709",58513,8.26460527548553e-09,9.5390374807145e-18
"94145388",1367842,8.21016941584474e-09,1.45367473789602e-17
"94145390",357102,8.30919062021063e-09,7.80050704096151e-17
"94145770",280687,8.21099742385046e-09,7.3622307886792e-18
"94145771",915840,8.14256519932689e-09,0
"94146144",4108760,7.69371039502065e-09,3.82758246122259e-17
"94147376",3990256,7.5187016363163e-09,0
"94149088",7023587,7.93898885406626e-09,0
"94149715",1255326,7.51584447139212e-09,1.78841881365547e-17
"94149716",1222248,7.38595715926752e-09,2.13925945568559e-17
"94149717",888297,7.4282147711168e-09,1.92621332352223e-17
"94149921",9079044,7.35064249782103e-09,0
"94149988",5983727,7.30294850036297e-09,3.80045714024817e-17
"94150131",2285293,7.39464978701871e-09,0
"94150523",118487,7.64197537846003e-09,2.207780947302e-17
"94151144",4134142,8.03022662364029e-09,8.40534128787778e-19
"94151145",2168674,8.02813247383218e-09,2.30248099509703e-17
"94151147",2692881,7.87457610584194e-09,2.12760919132441e-17
"94151149",2193830,7.87874520975204e-09,0
"94151150",2112034,7.88664908993420e-09,8.83657121397293e-18
"94151151",1845225,7.9084033626944e-09,1.32722209170737e-17
"94151152",6549717,7.77417339887767e-09,1.33447147345788e-17
"94151281",9424424,7.99930461075646e-09,2.00965836391581e-17
"94151393",5371173,7.76504927658485e-09,2.96722599524501e-18
"94151489",3034028,7.60705519687284e-09,1.77781336332697e-17
"94151612",1641568,7.82869434292978e-09,3.14290093416237e-17
"94151697",423515,7.5331415607796e-09,1.22771380256057e-17
"94151884",1038608,7.46642550921436e-09,0
"94151968",2501394,7.25674205821607e-09,9.54292732604068e-18
"94152748",359652,7.5458226894691e-09,0
"94153133",296231,7.80759383453567e-09,0
"94153134",853760,7.71103884569883e-09,8.87298010986858e-18
"94153136",277130,7.58902072295763e-09,9.64076565900324e-18
"94153137",277102,7.53331590283234e-09,3.83905444138033e-18
"94153138",210801,7.53528937118589e-09,3.47621388323389e-18
"94153139",0,7.52594314696016e-09,5.13099525092477e-18
"94153572",99138,7.53020806309889e-09,2.81009052064162e-17
"94153948",4782609,6.97209005366328e-09,0
"94153952",3715609,7.11054757442363e-09,0
"94153953",2950044,7.10255974911569e-09,1.36826850507701e-18
"94156557",251068,8.14325398534272e-09,0
"94156558",38304,7.33899948265748e-09,5.51655235410578e-18
"94156677",4312670,7.36932107562678e-09,7.68024117086382e-18
"94157217",4323370,7.56489226963502e-09,1.58862713615556e-17
"94157219",4559117,7.84332647150122e-09,2.64849282969307e-17
"94157754",5937135,7.74295497743377e-09,3.14212542504913e-18
"94157756",5978999,7.82633156657895e-09,1.30117487165886e-17
"94157757",6184597,7.91545516759975e-09,2.46971986047295e-17
"94157762",243347,8.00986074918121e-09,1.38555003392993e-17
"94158188",1012852,7.92002287978389e-09,7.63590440775967e-18
"94158189",922961,8.1271097971111e-09,1.12772201904511e-17
"94158190",1256508,8.14313846393023e-09,2.66628027170948e-17
"94158481",2209524,7.96200737560842e-09,5.89875444128467e-19
"94158482",542453,7.89718954386489e-09,3.42721170476444e-18
"94158483",542425,7.77089135630424e-09,0
"94158484",484751,7.70538885262382e-09,5.68367416280072e-18
"94158854",96753,8.00797350504817e-09,2.52071289191006e-17
"94158855",439862,7.8918835995141e-09,1.76528624300903e-18
"94159195",2056712,7.90518209445377e-09,0
"94159196",11669,7.67692473502428e-09,8.72303877912609e-18
"94159197",80167,7.72031583932866e-09,1.44928171248818e-17
"94159199",1005664,8.04330949837174e-09,6.40058932623434e-18
"94159488",692821,7.87701695591735e-09,2.32351166713047e-17
"94159491",12604076,7.97699570981363e-09,0
"94160057",74966,8.00544786665898e-09,0
"94160265",282609,7.76438776820899e-09,4.25673321842701e-17
"94161165",106052,7.38978923920875e-09,8.91232654647581e-18
"94161169",214447,7.60174443089086e-09,1.38678485117945e-17
"94161171",1709517,8.02855409938969e-09,1.77049023709812e-17
"94161172",131268,8.09118384342801e-09,1.33206512367153e-17
"94161173",1382548,8.00973000247561e-09,2.02681099327244e-17
"94161174",2007437,7.95927793825632e-09,8.06102343912196e-18
"94161176",0,7.94130510850285e-09,2.2245322104319e-18
"94163101",2002041,7.83952461738241e-09,2.50630373588217e-17
"94164234",258665,7.89039427234267e-09,0
"94164238",258637,7.80269686696418e-09,1.02838479673749e-17
"94164241",190917,7.85181510476716e-09,5.41915230828841e-18
"94164242",524408,8.03034267788896e-09,1.20044658356169e-18
"94164243",698530,8.28923621738878e-09,4.51377396232879e-18
"94164591",272777,7.89597986816029e-09,0
"94165147",11152362,7.92182351919261e-09,8.75289639015883e-18
"94165414",1665196,7.76514419936527e-09,1.67687314161465e-17
"94165420",643984,7.91326327964608e-09,5.82537450422874e-18
"94165798",2322566,7.57468621629332e-09,7.41927463020846e-18
"94166145",1665168,7.57839056041654e-09,3.17714428834979e-17
"94166149",589898,7.75634743902293e-09,1.62339296829042e-17
"94166338",151733,7.4848916049417e-09,1.10954450384971e-17
"94166339",98017,7.40525788832987e-09,5.73825494521059e-18
"94166342",134076,7.82802097279561e-09,3.69554770719542e-19
"94166688",577265,7.56041448522352e-09,1.89006213359833e-17
"94166717",545685,7.69597687036941e-09,3.66168578713469e-17
"94166879",567249,7.7022565522476e-09,0
"94166880",71485,7.40522978259153e-09,0
"94167365",1510842,7.37858963567606e-09,0
"94167629",99925,7.84412488563315e-09,7.12741835523361e-18
"94167630",118973,7.87146965708254e-09,5.65504430306251e-17
"94168021",3453587,8.04746427832999e-09,4.7340165176941e-18
"94168165",6824320,7.70284863650079e-09,1.96654279520919e-17
"94168454",2040682,8.04996174024397e-09,0
"94169400",950214,7.8053117505817e-09,2.3228844418086e-17
"94169547",8967892,7.91226680040905e-09,0
"94169695",4553156,7.83574072719412e-09,3.91278775110611e-18
"94169980",4926474,7.76588607934088e-09,1.89198515914665e-17
"94169982",3192706,7.88542508668272e-09,2.0256486386853e-17
"94169988",3323380,7.82911213700996e-09,0
"94170757",6641085,7.69810571907477e-09,2.55809966260209e-17
"94170852",74647,7.70649323283009e-09,2.82311341786456e-18
"94170853",2953325,7.67691086629239e-09,2.93898850734946e-17
"94171402",3503964,7.8301586819424e-09,2.0783321128897e-17
"94171698",1987261,7.9931236126501e-09,3.02232388728398e-17
"94172432",4003125,7.91098803396342e-09,0
"94172434",1763664,7.91201132765806e-09,1.61286810120532e-17
"94172435",1564909,8.07908289671796e-09,0
"94172436",1752547,8.0315050076784e-09,3.58164662382002e-18
"94173046",1627992,8.08827876333702e-09,7.63283541960077e-19
"94173047",1628020,8.16274239031294e-09,4.61009210920052e-19
"94173210",1980746,8.04034388541477e-09,8.79452511590657e-18
"94173211",1379823,7.98915502550771e-09,1.99195854997823e-17
"94173212",169677,8.01476029030825e-09,9.91250448036334e-18
"94173259",293730,8.09087688423978e-09,1.08717740325297e-17
"94173335",67332,8.02386210331533e-09,0
"94173545",1188452,7.80644936368522e-09,0
"94173548",1937124,7.98175935908915e-09,7.40935251133934e-18
"94173550",891945,7.79214228918428e-09,2.17916804498959e-17
"94173692",2640393,7.82223854223324e-09,1.96566388653171e-17
"94173694",4763498,7.73480952114208e-09,0
"94173781",926740,7.67033420795796e-09,2.55943788283831e-17
"94173784",2886383,8.00963971671717e-09,2.68205733329915e-17
"94173785",0,8.05275291767015e-09,3.39247745312856e-18
"94174398",5244466,7.25915264663825e-09,9.19477916805535e-18
"94174697",4763470,7.66063697257626e-09,0
"94174699",2241060,7.47049328201326e-09,1.99727834223322e-17
"94174700",2977342,7.46780677893548e-09,1.00288890014614e-17
"94174702",3376507,7.70386512927386e-09,1.56244306683789e-17
"94174704",2351529,7.69069475498329e-09,7.08166345444679e-18
"94174914",2221795,7.50244889995934e-09,0
"94174915",2220631,7.51318494133346e-09,2.24129414555408e-18
"94175164",1137377,7.577212686461e-09,1.28304088587826e-17
"94175166",1115663,7.84550993227141e-09,1.04801670730645e-17
"94175315",161880,7.67344518791484e-09,1.07532102514421e-17
"94176325",2501560,7.51467191776647e-09,3.31007749954775e-18
"94176330",2166041,7.33466947223526e-09,7.38600839973739e-18
"94176331",2166013,7.25510689351252e-09,7.16396604500292e-18
"94176332",2095909,7.26206703646776e-09,2.36096691270508e-17
"94177741",1061925,7.43070114244898e-09,0
"94177943",1007440,7.43728856197195e-09,1.26114585599114e-17
"94177951",1727314,7.37794609416129e-09,1.73299740882755e-17
"94177954",1432715,7.15130196393097e-09,0
"94178123",119480,7.04021006386416e-09,0
"94178357",2830219,7.50215725913317e-09,1.56106051906505e-17
"94178681",246947,7.55282533589752e-09,1.63069769287616e-17
"94178683",2406678,7.6980747474758e-09,1.05399732356152e-17
"94179673",2089575,7.55228831707446e-09,2.94215688629927e-17
"94179676",2936534,7.55304669188535e-09,0
"94179906",3074754,7.55490961050432e-09,1.79575337938196e-17
"94179907",3055497,7.48916311921739e-09,7.50062927496593e-18
"94181022",58262,7.99750107163718e-09,5.08494511610228e-17
"94181096",1024452,7.89518312757027e-09,0
"94181306",8674807,7.91445158667142e-09,6.02448780675388e-17
"94181307",197140,7.80380325991953e-09,7.34859402743281e-18
"94181728",2033835,7.0716906692951e-09,2.4275371127148e-17
"94181730",1946558,7.18289193664541e-09,0
"94181731",7055017,7.20120201402248e-09,1.56094789358292e-17
"94182333",4276462,7.16053532092246e-09,3.29927257787065e-17
"94182913",68591,7.18755947876853e-09,0
"94182914",56233,7.2265134074804e-09,3.64338748262276e-19
"94182999",4225263,7.04409263281096e-09,1.27157058041888e-17
"94184172",525984,7.24079521597954e-09,1.7130377580657e-17
"94184179",1223000,6.63054081316651e-09,1.41938187552542e-17
"94184450",36163,6.24692636808995e-09,4.24531524377933e-18
"94184713",135564,6.83407475242812e-09,7.71171494947223e-18
"94184716",180852,6.7974103267293e-09,3.42513504358131e-18
"94185760",156184,7.16438390930777e-09,0
"94185764",36718,7.30812708727607e-09,1.32948646092121e-17
"94185770",156156,7.03331495633606e-09,3.10595702919383e-17
"94185774",1331424,6.96473651804159e-09,0
"94186411",1897089,6.6288029788861e-09,2.75969626523399e-17
"94187779",23802,6.32186693347166e-09,1.24067548974046e-19
"94187780",1091202,6.64593821770231e-09,1.19812526459341e-17
"94187782",1292010,6.31261836107566e-09,0
"94187785",21932,6.1404714117393e-09,1.5268602050186e-18
"94187786",3000693,5.99320079225411e-09,9.89696909465945e-18
"94188138",3221490,6.01134191033232e-09,2.53837627562401e-17
"94188710",172,7.11922996846225e-09,3.46658232109295e-17
"94189165",2232,6.90334883136504e-09,1.6693983074435e-17
"94189169",991678,6.56188363715417e-09,1.99796030559024e-17
"94190864",4758908,6.75898563749275e-09,0
"94191162",3872460,6.60366486935564e-09,0
"94191164",4008872,6.59970619031557e-09,0
"94191592",5882079,6.60239834738719e-09,0
"94191744",156463,6.5302024405169e-09,4.48665897532134e-17
"94191905",102518,6.46639329900761e-09,0
"94192767",1821440,7.05366326811466e-09,0
"94192768",955816,6.96845584676628e-09,0
"94193348",809253,6.86315863582888e-09,0
"94193350",1988062,6.99420356409929e-09,8.97703451473645e-18
"94193351",3734270,7.17184992118432e-09,0
"94196265",1300171,6.96917106480373e-09,1.57494476084891e-17
"94196267",1253488,7.05321685984826e-09,9.81411939287274e-18
"94196276",2946088,7.17592284146342e-09,2.55403911723394e-17
"94196430",390023,6.81493816278524e-09,0
"94196587",1038948,7.18227183471053e-09,0
"94196984",1031567,7.06178804058652e-09,1.46318807068291e-17
"94197384",729707,7.17886327088116e-09,0
"94197641",2093445,7.2284040537343e-09,8.52288889227907e-18
"94199167",1143103,7.91619420025286e-09,2.33958779890328e-17
"94199168",2123939,7.71960688767235e-09,0
"94199676",689498,8.06905329785567e-09,0
"94200177",2147056,7.7157308487906e-09,0
"94200623",0,7.64321950648355e-09,1.20219047394455e-17
"94200928",262864,8.13713573298102e-09,3.18669528092243e-17
"94201158",782501,8.15339051382573e-09,1.01956176919267e-17
"94201292",1638557,8.02128828296358e-09,0
"94201517",0,7.39490252122121e-09,2.62367936006596e-18
"94201521",7686037,7.65676511897789e-09,0
"94201600",2026423,7.63784626967063e-09,2.42070932136902e-17
"94201757",66082,7.46755340979295e-09,0
"94202286",2039646,7.43848978851458e-09,0
"94205088",69738,7.47908135648184e-09,1.91046584103494e-17
"94205089",169510,7.66707612105908e-09,3.98276794435453e-18
"94206073",2958928,7.58845472940949e-09,0
"94206128",2928156,7.48200340402307e-09,4.88585178918312e-18
"94206274",32633,7.54633165383574e-09,1.08057858685487e-17
"94206449",2194454,7.45085601398459e-09,1.41952671028124e-17
"94206882",50537,7.46561716328158e-09,8.00083219943504e-18
"94207053",251649,7.72794508942823e-09,2.39889611243818e-17
"94207230",368447,7.54966753069702e-09,1.00834884902727e-17
"94208275",1796295,7.24349122394011e-09,2.78081038852482e-17
"94208278",4082819,7.58315175222696e-09,2.39926678206416e-17
"94208279",1962681,7.45907515256068e-09,2.15704512924723e-17
"94208286",256852,7.23888145853943e-09,1.56834091623646e-17
"94208287",82698,7.16958994946799e-09,0
"94208290",39831,7.1639815681513e-09,2.27645310662319e-17
"94208583",2599605,7.21796817542348e-09,3.72365407450311e-18
"94208711",285230,7.24370841414324e-09,2.19672219729036e-17
"94209002",1191532,7.3824247661473e-09,3.31498283862661e-17
"94209095",1033273,7.38815355608919e-09,1.6243394262756e-17
"94209398",1761269,7.24947801645549e-09,9.3647796720757e-18
"94209400",5407587,7.30883960368352e-09,3.91074434573472e-17
"94209706",4780322,7.46373763910663e-09,0
"94209853",4076981,7.35519555543655e-09,2.31817006268144e-17
"94209855",3882446,7.31203187009126e-09,1.44525905559197e-17
"94209968",2507877,7.59868977158906e-09,1.51838522229134e-17
"94210316",2513820,7.70865692623077e-09,0
"94210394",4127992,7.64315819816425e-09,0
"94210795",6056267,7.68798072999294e-09,2.41464694745279e-17
"94210933",2636250,7.64654477778574e-09,0
"94211139",2291582,7.59763480902968e-09,0
"94211142",2438531,7.65930315424396e-09,1.24344721262711e-17
"94211143",2453024,7.69563758276204e-09,3.00168523038791e-17
"94211386",549152,7.71806799011297e-09,2.39829098923595e-18
"94211772",3087657,7.69103909556527e-09,1.05427694067532e-17
"94211776",162821,7.53911169355342e-09,2.52598425211729e-17
"94211777",1065463,7.49751706102257e-09,2.92402057555175e-18
"94211916",2925467,7.48387301505916e-09,7.07760463966803e-18
"94212484",854189,7.31822044204842e-09,2.66869231068014e-18
"94212488",4478563,7.67245597587582e-09,0
"94212490",1188480,7.84335622629007e-09,6.21008336813771e-18
"94213033",4102576,7.44464389176533e-09,1.01775332347334e-17
"94213173",290374,7.49428006772883e-09,6.32951333305701e-19
"94213175",128032,7.36467043246422e-09,1.86185598096882e-18
"94213176",73148,7.30369779568007e-09,5.35930172305371e-19
"94213177",4102548,7.35113327744973e-09,0
"94213224",142149,7.34174678431162e-09,0
"94213335",4008100,7.27463783033682e-09,1.4229170597452e-17
"94213424",45867,7.43063450892723e-09,0
"94213531",100807,7.49483837968233e-09,6.40405895215475e-18
"94213772",3702885,7.6595110852039e-09,7.88531396420098e-18
"94213931",2365730,7.60475266894793e-09,5.41037153326348e-18
"94214154",126334,7.49919228327978e-09,8.86996200828916e-18
"94214157",156090,7.42040784744787e-09,5.64126192413866e-18
"94214158",201905,7.50873112702242e-09,5.55465614992896e-18
"94214160",318337,7.61453308348205e-09,2.95666438674699e-18
"94214602",1040617,7.48764436149318e-09,6.56217421844218e-18
"94214726",256203,7.57716713287522e-09,2.2823723873552e-17
"94214786",1040589,7.41835465803957e-09,1.16728172486612e-17
"94214881",2636278,7.68572498101485e-09,6.89505346010965e-18
"94215152",200941,7.76805987592927e-09,1.38739111030616e-19
"94215153",1220798,8.01049666207406e-09,2.38269862159909e-17
"94216326",3920786,7.23306406473223e-09,0
"94216327",926109,7.37394176866524e-09,1.12667955283673e-17
"94216328",2155938,7.50459150941013e-09,0
"94216674",29765,7.3517442250682e-09,2.4848475892325e-17
"94216675",784668,7.49248297745959e-09,1.90093510499779e-18
"94216677",1737427,7.28386715144705e-09,4.2648743177007e-17
"94216678",3897692,7.29832541620784e-09,0
"94216885",300214,7.28778899952187e-09,2.28570788458307e-18
"94217111",108372,7.22356404320915e-09,9.42309410673685e-18
"94217441",2510936,7.22647553758366e-09,1.52894075185965e-18
"94217565",2095937,7.35437754297547e-09,1.76737884793697e-17
"94217728",6956215,7.30538444988633e-09,6.50871487076816e-18
"94218002",6956187,7.27515842492025e-09,1.75957564054186e-17
"94218583",2645145,7.08627043774692e-09,1.60329630366162e-17
"94218636",26193,6.95411419438603e-09,1.89397455260334e-17
"94218701",2761684,7.16757911474802e-09,0
"94218952",2761656,7.03997599871071e-09,7.44667867733842e-18
"94219427",260906,8.13756484554199e-09,2.800953037023e-17
"94219781",760288,8.04588146332616e-09,7.65223376650626e-18
"94219782",5280258,7.80902360056406e-09,1.1471070777028e-17
"94219783",897703,7.63673648036124e-09,1.81414379070911e-17
"94219784",784640,7.36912005368674e-09,1.85130019734183e-17
"94220085",1061276,7.4534254828006e-09,5.51900911720073e-18
"94220106",1212737,7.48557062602406e-09,6.4571538099264e-18
"94220177",1061248,7.38513092514067e-09,2.07907422154305e-17
"94220218",1198057,7.49662340597352e-09,0
"94220416",1104683,7.4058551434484e-09,4.8072949505082e-17
"94220945",2510964,7.27920110987095e-09,1.38342590782825e-17
"94220948",74517,7.22450363376621e-09,9.20658075350276e-18
"94221134",89192,7.19421315139695e-09,9.04542016642888e-19
"94223221",236173,6.7018724231328e-09,0
"94223839",2455952,6.83380375539253e-09,0
"94225409",960823,6.71113030544684e-09,6.76466621243162e-18
"94225411",1647504,6.84349090133654e-09,2.5320376853141e-17
"94225412",1037180,6.38720431425171e-09,0
"94225415",1037208,6.48712186987927e-09,2.46700298260811e-17
"94225418",1262708,6.6381530106103e-09,8.46552250415505e-18
"94225825",378894,6.62290415637023e-09,0
"94225869",719583,6.91742873880359e-09,2.85044795943604e-19
"94225980",831738,6.86573970568655e-09,1.89556880319132e-17
"94226429",812381,6.79085525345604e-09,0
"94226431",728817,6.74734988757985e-09,3.56782776738101e-17
"94226433",1076520,6.89865285164241e-09,2.51458983246282e-18
"94226435",846848,6.87037859171629e-09,2.85130612650953e-17
"94226441",571424,7.13293856358111e-09,2.49889964688235e-17
"94226442",165953,7.20706176641303e-09,4.86530509253762e-17
"94226478",350133,7.04024337729467e-09,1.72594368866574e-17
"94226653",188431,6.96180434215046e-09,2.2294456894086e-17
"94226785",69829,6.76469747953965e-09,2.06398897027503e-17
"94226787",655249,7.02079813483374e-09,6.02573569002401e-18
"94226992",316375,6.99273869000242e-09,1.8916301823295e-17
"94226995",1029846,6.9427981675744e-09,0
"94227239",1530490,7.0676412641664e-09,3.26420900561574e-17
"94227304",314453,6.9342239632377e-09,1.42762361927847e-17
"94227584",1097609,6.90151769540737e-09,2.91618866391407e-18
"94227585",1095071,7.08681564942602e-09,0
"94227587",1489394,7.23343069577719e-09,0
"94227588",1471129,7.12523979086038e-09,2.23434325373296e-17
"94227589",2453771,7.24969169508256e-09,0
"94227785",201750,7.12037682605775e-09,1.27058219053013e-17
"94227787",102653,6.83574563578607e-09,0
"94229703",305877,6.27336192553052e-09,0
"94229707",157001,6.1981832340971e-09,1.8942929046115e-17
"94230345",218875,6.26343658524344e-09,3.48718591465899e-17
"94230474",0,6.20976871695388e-09,9.32962172361003e-18
"94230475",355537,6.70161443822242e-09,4.39251197998776e-17
"94230668",0,6.65179549048566e-09,2.57122906390086e-18
"94230746",360357,6.45902976728721e-09,3.25143696519117e-17
"94230913",538112,6.71552479861137e-09,3.69747413633878e-18
"94230933",4760364,6.9859436791579e-09,0
"94231213",48829,6.87987595097428e-09,2.35802653586623e-17
"94231216",6289,6.74322341916402e-09,1.07266043856881e-17
"94231217",244603,6.86846878611258e-09,2.58524388621773e-18
"94231342",26582,6.81297301056401e-09,1.73908267289074e-18
"94231344",4788234,7.04544624581426e-09,1.90337101214162e-19
"94231703",1721593,7.12714070166845e-09,8.64464449219699e-18
"94232105",2105634,7.33761734201655e-09,5.97169419861897e-18
"94232177",596213,7.24175101501354e-09,8.41764536018936e-18
"94232268",2105606,7.27255542516915e-09,2.28336165142606e-17
"94232556",524960,7.02607491866099e-09,4.33083935513224e-17
"94232729",217301,6.84467858979835e-09,1.25779702187266e-17
"94232733",443635,7.15202327567253e-09,1.11645817595903e-17
"94233052",166556,7.3808566830562e-09,1.46997111102253e-17
"94233332",217816,7.21535328521986e-09,4.1941425627929e-17
"94233334",342493,7.00245642342052e-09,5.89920210048783e-18
"94233335",1018361,6.86451058341877e-09,8.47067922386864e-18
"94233597",13973129,7.55136844413585e-09,2.50581266340155e-17
"94233621",0,7.55316998467687e-09,2.16399220372011e-17
"94233688",620247,7.47957428752709e-09,7.4710364906089e-18
"94233976",43276,7.01858598104206e-09,3.83190553413996e-19
"94234062",421084,7.08909408458679e-09,2.28693199404917e-17
"94234063",140377,7.11688029153783e-09,0
"94234180",536783,7.11751165862115e-09,6.17590145820451e-18
"94234848",1437197,7.10462234107196e-09,0
"94234854",66855,6.87857939640837e-09,0
"94234857",314397,6.81982572658408e-09,6.37684091130798e-18
"94234858",193606,6.77031745559355e-09,7.7366975471952e-18
"94235042",523514,7.0816798093663e-09,0
"94235479",395934,6.8797941801809e-09,2.5410604167605e-17
"94235482",0,6.89685130504963e-09,0
"94236058",510890,6.79812435045091e-09,8.35149461134396e-18
"94236061",0,6.6396980037224e-09,2.09083161222118e-17
"94236322",921424,6.84652403722324e-09,9.21228856632628e-18
"94236658",705501,6.9286914191716e-09,3.94875482581071e-18
"94236920",11547,6.87293032556727e-09,1.52469474139522e-17
"94237023",658753,6.91391627207161e-09,5.36544041852544e-18
"94237045",23521,6.82951622712016e-09,2.76684086822747e-18
"94237136",705473,6.89402032535883e-09,0
"94237223",236074,7.15923160114473e-09,3.11009940548503e-17
"94237705",26287,7.05366924149024e-09,1.12169496432365e-17
"94237931",14390,7.22086436723133e-09,3.02341969985914e-17
"94239462",3794645,7.12463664963265e-09,4.1630848888966e-17
"94239467",77318,6.51049629268714e-09,3.94215619920771e-17
"94239628",400092,7.03014449540154e-09,1.26810656251389e-17
"94239633",231223,7.1591922500723e-09,8.23836144035521e-18
"94239963",40404,7.07577086706569e-09,0
"94239964",42881,7.08350293812467e-09,5.10031624057251e-18
"94239966",494726,7.05423290990554e-09,3.74818433616788e-18
"94239967",38449,6.57382174352846e-09,1.95302435846187e-17
"94239968",51337,6.6530752237395e-09,6.47325831141126e-18
"94239969",1263682,6.73937876937262e-09,1.40366116025012e-17
"94239970",2793358,6.73312329675493e-09,1.10665671214508e-17
"94241344",3008379,6.44097806735492e-09,0
"94241964",3327939,6.85154871676196e-09,0
"94243036",719150,6.85859485564575e-09,2.20742224578101e-17
"94243262",942640,6.80629699317117e-09,0
"94243623",198261,6.84503001792885e-09,0
"94243625",752432,6.79194084044701e-09,0
"94244169",3061206,6.85354130687289e-09,5.17418251004327e-18
"94245630",3039128,6.87627701142356e-09,0
"94246427",878128,6.63033666082894e-09,3.33889102747283e-17
"94246757",63697,6.76551367651657e-09,0
"94247165",2481432,6.4817099163453e-09,0
"94247453",8314537,7.16556593992719e-09,1.99575966204114e-17
"94247749",628995,7.06767896581009e-09,3.02098089067243e-17
"94247753",1112863,6.86616477946847e-09,0
"94247754",1012887,6.84141225248654e-09,0
"94248444",1257174,6.18315031630575e-09,0
"94248592",241041,6.85027798122742e-09,0
"94248618",4622954,7.13994280694435e-09,3.44986507700853e-17
"94248806",241069,6.92806741392311e-09,2.45654566447672e-18
"94249286",5667221,7.18279339411775e-09,0
"94249422",1256572,7.23932986290304e-09,1.97376315949577e-17
"94249424",209786,7.13054090079365e-09,0
"94249426",379487,7.28208555424501e-09,2.65060564429053e-17
"94249428",1329283,7.31138680784733e-09,2.0957722942888e-17
"94249439",186769,7.41839471749394e-09,2.59481049948657e-17
"94249523",960370,7.38430784596428e-09,1.92611155884968e-17
"94249639",635216,7.41264815379567e-09,2.73262447485577e-17
"94249772",1217728,7.25646042788897e-09,3.58629604293698e-17
"94249773",59329,7.1019293273807e-09,0
"94249865",1641468,7.33187609913457e-09,1.51782508598252e-17
"94250088",376493,7.15381437105334e-09,9.1013392664437e-18
"94250132",724293,6.9397473006449e-09,8.9198506919486e-18
"94250133",88389,6.95615511940404e-09,5.81703348116864e-18
"94250134",2280,6.91022417194093e-09,2.40551597601171e-17
"94250376",2095679,6.65617327951759e-09,0
"94250378",1150263,6.8161605096342e-09,0
"94250379",1016239,6.91947818293377e-09,8.02910245062815e-18
"94250487",284959,6.82013590950459e-09,1.35648419667021e-17
"94250558",81565,6.66435156758106e-09,3.43141552959861e-18
"94250560",2131362,6.68733253239263e-09,0
"94250805",310839,6.57552252212972e-09,6.09560405516639e-18
"94251337",486477,7.05337929890013e-09,1.71722254561787e-17
"94251338",301070,6.86072699188511e-09,1.78093003254571e-17
"94251342",20313,6.55854426697992e-09,1.24302285088562e-17
"94251344",581751,6.90412024010174e-09,1.4207920003028e-17
"94251346",2170863,6.63662566922499e-09,0
"94251582",685179,7.12426869738075e-09,1.0736533460451e-17
"94251584",850875,7.20989565191752e-09,1.9334566113852e-17
"94251585",476763,7.07317441567794e-09,1.60606356078992e-17
"94251779",191854,7.10493903927904e-09,8.09104593371789e-18
"94251780",53159,7.05918875965921e-09,1.85219760275091e-17
"94251815",3953,6.91113584938975e-09,4.27734062662468e-18
"94251967",23505,7.06264468937682e-09,1.05845296167933e-17
"94251968",79186,6.9858870653906e-09,1.78858311531662e-17
"94251970",1087235,6.92157474744855e-09,2.17956987089393e-17
