"","u","v"
"283","382051","3647423363"
"284","382052","6752716731"
"285","382053","9949036441"
"286","382054","6532198453"
"287","382057","6364587212"
"288","382061","382080"
"289","382062","382077"
"290","382064","382076"
"291","382067","382076"
"292","382068","247631812"
"293","382069","382070"
"294","382070","382071"
"295","382072","382073"
"296","382073","4958110960"
"297","382077","382079"
"298","382078","382082"
"299","382078","382063"
"300","382079","382078"
"301","382080","382081"
"302","382081","382073"
"303","382081","2035302"
"304","382082","382076"
"305","382082","382068"
"306","390027","1015891800"
"307","390030","6282793831"
"308","390033","25001256"
"309","390035","507901583"
"310","390035","368011"
"311","390041","390042"
"312","390042","390043"
"313","390042","368009"
"314","390043","390044"
"315","390047","24636708"
"316","390047","390052"
"317","390052","390053"
"318","390056","368010"
"319","390060","368012"
"320","390197","420550824"
"321","390198","1921582936"
"322","390202","6539279030"
"323","390252","368083"
"324","390252","1651614492"
"325","390306","1775836984"
"326","390313","25290181"
"327","390316","25290203"
"328","398709","5816086594"
"329","398767","94161173"
"330","398768","398788"
"331","398769","25273787"
"332","398772","25273878"
"333","398772","15643084"
"334","398773","25273781"
"335","398773","398768"
"336","398774","398773"
"337","398775","398774"
"338","398776","398775"
"339","398783","817304290"
"340","398785","7011911284"
"341","398785","6483877365"
"342","398787","398788"
"343","398789","1232684937"
"344","398792","25272921"
"345","398795","25273899"
"346","398795","370316272"
"347","398800","25273207"
"348","398801","25273190"
"349","430770","683073597"
"350","430773","3745577947"
"351","430775","683075001"
"352","430777","7741342571"
"353","430784","36472814"
"354","430784","5905841577"
"355","430786","510573326"
"356","430788","5749702243"
"357","430789","5749702242"
"358","430794","25009249"
"359","430794","1759389841"
"360","430795","207278117"
"361","430795","244455587"
"362","430796","249580372"
"363","430796","206155083"
"364","430799","621248624"
"365","430799","123246622"
"366","430802","439881536"
"367","442138","34909839"
"368","442139","266586153"
"369","442150","2501649389"
"370","442150","123713357"
"371","442190","683082178"
"372","442192","7685970072"
"373","442192","249660646"
"374","442197","7873381794"
"375","442197","7873381789"
"376","442207","667363613"
"377","442211","175130307"
"378","442211","175129817"
"379","442216","1001475632"
"380","442242","177267816"
"381","442252","34817243"
"382","442252","305344084"
"383","442258","9226869748"
"384","442296","15378821"
"385","442301","15378812"
"386","442308","27288868"
"387","442309","27235576"
"388","442316","258391738"
"389","442317","258397253"
"390","442317","1089076037"
"391","442317","244455480"
"392","442320","27323288"
"393","442321","6360065459"
"394","442333","84791229"
"395","442335","2282593009"
"396","442335","1089076163"
"397","442344","418395556"
"398","442345","1089076058"
"399","442349","564900284"
"400","442373","2801044710"
"401","470124","7805844186"
"402","470124","568469944"
"403","470125","7805844186"
"404","470126","36476642"
"405","470129","783324776"
"406","470129","4964835298"
"407","470130","1765824640"
"408","470132","3335200905"
"409","470133","25031321"
"410","470133","25031259"
"411","470134","24984238"
"412","470135","24984302"
"413","470136","406713396"
"414","470137","25095614"
"415","470137","25034463"
"416","470138","5905028288"
"417","470138","25102197"
"418","470146","968748864"
"419","470146","21305937"
"420","470147","25190291"
"421","470149","8411278648"
"422","470150","786142279"
"423","470153","25255855"
"424","470154","25255891"
"425","470156","470157"
"426","470157","25190627"
"427","470159","4729508762"
"428","470161","25254922"
"429","470162","25287889"
"430","470164","6979235890"
"431","470165","470164"
"432","470166","25199639"
"433","470170","130096486"
"434","470172","5432282490"
"435","470173","6462643364"
"436","470175","21346783"
"437","470177","36485756"
"438","470182","6584345682"
"439","470184","666885557"
"440","470184","6448064269"
"441","470188","9119499212"
"442","470189","470188"
"443","470192","25203143"
"444","470195","94206449"
"445","470197","25273842"
"446","470198","25207333"
"447","470200","25581798"
"448","470200","650572575"
"449","470202","602485337"
"450","471728","9049316833"
"451","644079","260656208"
"452","644084","6352200799"
"453","644085","8371428260"
"454","644090","6368984239"
"455","644092","8092452052"
"456","644092","94184179"
"457","644109","7541693218"
"458","644119","60766874"
"459","644122","24911964"
"460","644123","24911835"
"461","644124","260421264"
"462","644125","497113288"
"463","644129","27323636"
"464","644129","644130"
"465","644130","178767178"
"466","644134","260436255"
"467","644135","27362262"
"468","644137","27234217"
"469","644139","27234414"
"470","644143","2620159851"
"471","644144","361704"
"472","644145","6475521567"
"473","644147","356385455"
"474","644147","2301514743"
"475","644148","644149"
"476","644149","644153"
"477","644149","2606206621"
"478","644153","15859519"
"479","644154","361749"
"480","644156","1920074498"
"481","644159","662420087"
"482","644160","697177871"
"483","644163","705056077"
"484","644165","7178764963"
"485","644165","166297605"
"486","661209","7223165749"
"487","661211","169320939"
"488","661213","2273068154"
"489","661215","27234945"
"490","661216","27234947"
"491","661216","661215"
"492","661218","6370024886"
"493","661220","6370024887"
"494","661220","21660275"
"495","661227","25625757"
"496","661227","270922855"
"497","661233","4547130996"
"498","661235","7351400011"
"499","661237","34909161"
"500","661239","9422726688"
"501","661239","2556489919"
"502","661239","94270046"
"503","661244","353161861"
"504","704766","9688784918"
"505","704778","288157894"
"506","704779","24909738"
"507","704779","306598639"
"508","704781","704782"
"509","704782","14950238"
"510","704784","8595850884"
"511","792952","792953"
"512","792953","15435233"
"513","792954","356403710"
"514","792956","356405893"
"515","792958","361769"
"516","792960","792961"
"517","792961","506368934"
"518","792962","15378799"
"519","792964","138151296"
"520","792967","662420110"
"521","792970","792968"
"522","792970","1666520373"
"523","792971","792972"
"524","792972","792973"
"525","792972","792970"
"526","792973","138151296"
"527","792978","8215335905"
"528","792982","662417033"
"529","792983","659962338"
"530","792983","792984"
"531","792984","856898587"
"532","792984","792980"
"533","792985","277065027"
"534","792986","792985"
"535","792986","792988"
"536","792987","792986"
"537","792988","792989"
